track_id,title,artist,actor,energy,danceability,valence,image_url
57,Katchi Sera,Sai Abhyankkar,Sai Abhyankkar,0.64,0.76,0.82,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/80/df/08/80df0808-17e7-ab41-5972-fec5f83e3819/cover.jpg/400x400bb.jpg
58,Pavazha Malli,Sai Abhyankkar,Sai Abhyankkar,0.8,0.48,0.75,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/41/c3/e8/41c3e832-58d1-9b4f-5465-c4294a519e4f/cover.jpg/400x400bb.jpg
59,Sivuni Aana,MM Keeravani,Prabhas,0.78,0.71,0.48,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/1a/8e/da/1a8edac5-80a7-22aa-c014-f4f1a0190f7a/8905750011301.jpg/592x592bb.webp
60,Saaho re Bahubali,MM Keeravani,Prabhas,0.81,0.78,0.62,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/1a/8e/da/1a8edac5-80a7-22aa-c014-f4f1a0190f7a/8905750011301.jpg/592x592bb.webp
61,Jay Jaykara,MM Keeravani,Prabhas,0.72,0.6,0.69,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/57/a1/f0/57a1f010-6ad8-1148-7cd0-140f788b5735/8718857704614.png/400x400bb.jpg
62,Soja Zara,MM Keeravani,Prabhas,0.56,0.76,0.73,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/57/a1/f0/57a1f010-6ad8-1148-7cd0-140f788b5735/8718857704614.png/400x400bb.jpg
63,Dhivara,MM Keeravani,Prabhas,0.6,0.68,0.54,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/d6/f7/74/d6f7740f-3001-5471-78f3-f72daa326dd6/8903431001399_cover.jpg/400x400bb.jpg
64,Aari Aari,Shashwat Sachdev,Ranveer Singh,0.89,0.79,0.9,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/89/74/08/897408d1-39d9-5d32-06a8-256ea77e4158/8902894362900_cover.jpg/592x592bb.webp
65,Dhurandhar Title Track,Shashwat Sachdev,Ranveer Singh,0.94,0.72,0.29,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/f7/cc/0e/f7cc0e2b-1412-ceee-0629-1c4b2e01347f/199806106228.jpg/592x592bb.webp
66,Lutt Le Gaya,Shashwat Sachdev,Ranveer Singh,0.79,0.71,0.25,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/bd/69/42/bd694261-3e85-6fc3-f7e0-25870cdc26a0/199806748190.jpg/360x360bb.webp
